         547901 function calls (544481 primitive calls) in 33.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1560(DefaultProvider)
       10    0.000    0.000    0.000    0.000 __init__.py:1563(_has)
        2    0.000    0.000    0.000    0.000 __init__.py:1572(get_resource_stream)
        2    0.000    0.000    0.000    0.000 __init__.py:1575(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1579(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1589(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1597(__init__)
        1    0.000    0.000    0.330    0.330 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1604(ZipManifests)
        1    0.000    0.000    0.001    0.001 __init__.py:1631(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1651(ContextualZipFile)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1840(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:1879(PathMetadata)
       12    0.000    0.000    0.000    0.000 __init__.py:1899(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1904(EggMetadata)
        4    0.000    0.000    0.000    0.000 __init__.py:1922(register_finder)
       14    0.000    0.000    0.002    0.000 __init__.py:1932(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:195(SetuptoolsVersion)
        2    0.000    0.000    0.000    0.000 __init__.py:1963(find_nothing)
       12    0.000    0.000    0.126    0.011 __init__.py:1970(_by_version_descending)
      634    0.003    0.000    0.093    0.000 __init__.py:1985(_by_version)
        1    0.000    0.000    0.000    0.000 __init__.py:199(SetuptoolsLegacyVersion)
      634    0.004    0.000    0.083    0.000 __init__.py:1991(<listcomp>)
       24    0.001    0.000    0.134    0.006 __init__.py:1996(find_on_path)
        4    0.000    0.000    0.000    0.000 __init__.py:2051(register_namespace_handler)
        4    0.000    0.000    0.000    0.000 __init__.py:214(_declare_state)
        6    0.000    0.000    0.000    0.000 __init__.py:2157(fixup_namespace_packages)
        7    0.000    0.000    0.001    0.000 __init__.py:2196(normalize_path)
       60    0.000    0.000    0.001    0.000 __init__.py:2201(_normalize_cached)
       44    0.000    0.000    0.000    0.000 __init__.py:2209(_is_unpacked_egg)
        8    0.000    0.000    0.000    0.000 __init__.py:2226(yield_lines)
        1    0.000    0.000    0.001    0.001 __init__.py:2255(EntryPoint)
        9    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
